target_index,requested_az_deg,requested_el_deg,n_valid_subjects,cov_azaz_deg2,cov_azel_deg2,cov_elel_deg2
1,0,-40,41,209.986268299265,-2.3697249587433,99.0042519638312
2,0,-20,41,207.553036674086,-0.0939588749810011,227.137595108203
3,0,0,41,200.505966406258,-5.01662547767282,211.649787364187
4,0,20,41,209.524519465979,-6.15061158692026,226.408704748973
5,0,40,41,214.721835741222,0.40752335070855,92.8107754971367
6,0,60,41,218.939241711927,8.27848624925034,53.0465687477396
7,30,-40,41,210.908451693349,-9.26364564836704,94.9261271433169
8,30,-20,41,207.484073734227,-13.3839882101989,240.677094467828
9,30,0,41,209.722440507571,-0.778964511973363,213.532070437348
10,30,20,41,208.812523792068,-0.576817280331031,221.78685688944
11,30,40,41,209.359707853518,1.99357048074226,99.9440450817255
12,30,60,41,201.326101065054,1.70187762735386,59.5012991025785
13,60,-40,41,205.934396223623,-15.3488079206279,99.9814392705058
14,60,-20,41,256.344048193741,-15.7704927826348,232.007420507096
15,60,0,41,239.666217753476,-2.19163671315227,206.168523359949
16,60,20,41,256.825328559864,-9.24756867300509,222.37607739263
17,60,40,41,207.01693183425,-4.48711298862571,92.8483882168706
18,60,60,40,127.640956062222,3.67305360618382,49.222339347513
19,90,-40,41,593.028952190422,-14.8596160665891,97.9787394424564
20,90,-20,41,326.648627475846,-15.2002301217451,225.028001866918
21,90,0,41,267.140234553918,-1.81052484522524,203.295795076173
22,90,20,41,244.561331749469,0.346948749098341,195.540982931666
23,90,40,41,367.644377708561,-0.68164634323335,104.858434440019
24,90,60,23,835.535108946957,2.96120284245384,43.3376903075197
25,120,-40,41,227.104683994949,8.24795395043253,82.8934177665802
26,120,-20,41,264.570875951727,-10.4504839746608,216.148513344778
27,120,0,41,237.02938745982,3.50253912007043,210.404279972751
28,120,20,41,248.882658256718,-5.73669286841599,215.090882195489
29,120,40,41,196.050744093038,-8.76311784467963,101.482721720962
30,120,60,35,121.022079772342,3.43101547313318,37.3355987998496
31,150,-40,41,203.576378677213,2.58102890180836,101.259370841054
32,150,-20,41,221.955895603598,-2.93862549501156,220.165689097789
33,150,0,41,203.441862114959,-2.24995767611984,218.784365661544
34,150,20,41,217.817609831714,-3.26525800009493,212.112231296795
35,150,40,41,203.538153072637,-0.4202356322151,79.2749237924251
36,150,60,37,192.424540493345,4.25015113501921,38.8988462867218
37,180,-40,41,211.805361171379,-0.127748103606108,99.1527379134748
38,180,-20,41,207.158788992462,-2.03634734781956,210.060749635365
39,180,0,41,205.382929683248,2.88367135091374,210.520543707848
40,180,20,41,208.008933186068,1.44153795613373,204.24213350159
41,180,40,41,214.611563662573,1.78612654213525,74.0118145908781
42,180,60,41,228.835178810934,2.75774066380399,37.4438475574686
43,210,-40,41,209.178619410896,-1.02848494469855,115.245719180222
44,210,-20,41,213.617573598844,8.3536799042509,221.289913233972
45,210,0,41,208.009882117405,-1.287665469517,212.932424053213
46,210,20,41,208.911171703597,0.260218741294364,214.464677139942
47,210,40,41,214.328536890262,0.490691795601716,94.8643767344663
48,210,60,38,192.631355243878,-5.74560188441992,42.9552595042134
49,240,-40,41,233.223453638451,-4.40903033625553,107.889491715553
50,240,-20,41,245.971103884897,10.947367464626,216.049256709229
51,240,0,41,233.877569888033,1.693675827285,212.5946121511
52,240,20,41,249.271745341702,17.2292645300987,212.294211821424
53,240,40,41,193.598054876352,10.2536558307838,100.590409212095
54,240,60,38,133.286722076823,-1.23373004287394,53.0372180257589
55,270,-40,41,509.702103577436,18.8338837976006,118.544013214271
56,270,-20,41,326.75625763394,18.9750120737174,219.084113134696
57,270,0,41,254.88330864698,1.92813272241427,204.389544314891
58,270,20,41,247.709128428917,-1.78413690370393,205.042525693986
59,270,40,41,381.695290791515,7.42865358265322,104.343988107746
60,270,60,26,556.717096042482,-0.809559413615242,38.1977142616092
61,300,-40,41,214.157760019011,21.2311344630603,101.888421642979
62,300,-20,41,258.487353287588,7.09552298939635,231.78045966955
63,300,0,41,236.75779891938,5.69875288801334,214.550941902262
64,300,20,41,258.23303494729,5.51528607167304,219.676815259621
65,300,40,41,207.863361286895,-3.56492776732393,102.041279501212
66,300,60,40,124.063844907797,-4.08545606464446,48.7830511052056
67,330,-40,41,211.597111289782,2.56339177862083,101.314781406646
68,330,-20,41,211.801169371893,2.33370654887217,233.888903119739
69,330,0,41,205.2308620058,2.32207136494315,213.777647185717
70,330,20,41,207.379862263807,-2.19762393168902,224.068276097021
71,330,40,41,211.000554296324,-6.30560103334887,97.6748153056108
72,330,60,41,198.383227158783,-3.26320544763314,51.2680240902515
