subjectId,retainedDirections,LSDdB_20_16k
10,100,3.9517268504586656
100,100,3.7376321539281516
104,100,3.689206542199391
116,100,4.069735046606995
118,100,3.687375497089649
128,100,3.9845982197990857
141,100,3.8292546660291564
143,100,3.7593467641115237
148,100,3.6114384216448565
149,100,3.7846927893933944
152,100,4.129766060412938
166,100,3.8114812241693867
168,100,3.9787309409382083
169,100,3.9968247550567066
172,100,3.909131546427983
173,100,4.022398031552115
175,100,3.932434482081587
179,100,3.9707996893771824
191,100,3.8664600160251914
193,100,3.9679069218177876
196,100,3.9674593570654353
198,100,3.8443753351025274
200,100,3.9318555154190955
22,100,3.9862828484856134
26,100,4.134795431571343
30,100,3.7971747731890186
32,100,3.804040530944669
33,100,3.628405830748915
37,100,3.9044572211557913
40,100,3.722347730856327
48,100,3.7030352251226044
59,100,3.5833443159672873
68,100,4.184068524790597
71,100,3.692797533154462
73,100,3.752548457605242
78,100,4.118704585899854
80,100,3.8008009988308062
82,100,3.983304008807997
83,100,3.880803880904002
88,100,4.001510747249246
89,100,3.971272407869626
10,19,4.121359209713644
100,19,4.296362685029875
104,19,3.959665496086995
116,19,4.389638582586103
118,19,4.355036926006343
128,19,4.497958510405805
141,19,4.034755268057133
143,19,4.075189666363104
148,19,3.8773938108449406
149,19,4.0233870110690395
152,19,4.3053452993017665
166,19,4.32135643006592
168,19,4.082652917208958
169,19,4.230672088310416
172,19,3.8800708631519525
173,19,4.537669103488791
175,19,3.875843571165138
179,19,4.498824741979211
191,19,4.007358814915539
193,19,4.2376469896853255
196,19,4.38881139029635
198,19,4.620364593183239
200,19,4.443104697172907
22,19,4.194124150703865
26,19,4.543972756198603
30,19,4.243385431687793
32,19,3.932323562346874
33,19,4.100014487485964
37,19,4.355584907947042
40,19,3.959716509809179
48,19,4.273242665341254
59,19,4.011024400274552
68,19,4.373480105556358
71,19,4.0818362788755636
73,19,3.766213234707976
78,19,4.401167499159839
80,19,4.215836165899752
82,19,4.060289384263074
83,19,4.241253453488962
88,19,4.0433867680310085
89,19,4.04164520763093
10,5,4.706806365664836
100,5,4.399533788517202
104,5,4.109921128562417
116,5,4.795754783550546
118,5,4.805103521610557
128,5,5.286396184147288
141,5,4.461250886511492
143,5,4.551068004216262
148,5,4.224239720137003
149,5,4.337735867515988
152,5,4.898023389792132
166,5,4.92507456148522
168,5,4.440743172801632
169,5,4.737371522210738
172,5,4.197118081863499
173,5,5.137915553988622
175,5,4.426343177361309
179,5,5.291779409467864
191,5,4.5210029422718145
193,5,4.728875769459094
196,5,4.630524452191746
198,5,4.6026928997750085
200,5,5.325384964648525
22,5,4.7824532414882786
26,5,5.229137884142861
30,5,4.759854994896494
32,5,4.352652048876758
33,5,4.551352033436175
37,5,4.602404542026136
40,5,4.378924002328705
48,5,4.859049754132758
59,5,4.280369326959975
68,5,4.838875855355014
71,5,4.058297825874972
73,5,3.853273893669085
78,5,4.939784845925666
80,5,4.891859122649966
82,5,4.73619629797991
83,5,4.508652362065182
88,5,4.85938031637298
89,5,4.642056300362784
10,3,4.793271594196633
100,3,4.533433529976745
104,3,4.174633544607189
116,3,5.58672437397493
118,3,5.212114050730211
128,3,5.692877128656187
141,3,4.750080206803608
143,3,5.323281255044177
148,3,4.350220571566877
149,3,4.793965554991332
152,3,5.115973994903357
166,3,5.26426949823918
168,3,4.708229002388862
169,3,4.968075314082161
172,3,4.2003449225683065
173,3,5.431639896072757
175,3,4.516293479998731
179,3,5.713267253671797
191,3,4.667915574458345
193,3,5.185993157126133
196,3,5.324724164808361
198,3,4.901101983238347
200,3,5.564289847749438
22,3,5.172072386587084
26,3,5.44953944659703
30,3,5.140995457881793
32,3,4.688691970143568
33,3,4.689753455149115
37,3,4.900426450318455
40,3,4.597965422743948
48,3,4.957052266971083
59,3,4.452343843294147
68,3,5.006256924061949
71,3,4.0763506349211225
73,3,3.9113322148400234
78,3,5.111026054157717
80,3,5.034226876024273
82,3,4.633698101793096
83,3,5.259531827818286
88,3,5.111701789799342
89,3,4.92895233483182
